Rayleigh,Optimal_L,Max_Nu,Optimal_k,Mode_n
6.57E+02,3.00E+00,1.00E+00,2.09E+00,1.00E+00
7.00E+02,3.00E+00,1.00E+00,2.09E+00,1.00E+00
8.00E+02,2.69E+00,1.01E+00,2.34E+00,1.00E+00
9.00E+02,2.80E+00,1.57E+00,2.24E+00,1.00E+00
1.00E+03,2.80E+00,1.74E+00,2.24E+00,1.00E+00
1.10E+03,2.80E+00,1.88E+00,2.25E+00,1.00E+00
1.20E+03,2.79E+00,2.01E+00,2.25E+00,1.00E+00
1.30E+03,2.78E+00,2.13E+00,2.26E+00,1.00E+00
1.40E+03,2.77E+00,2.23E+00,2.27E+00,1.00E+00
1.50E+03,2.76E+00,2.32E+00,2.28E+00,1.00E+00
1.60E+03,2.76E+00,2.41E+00,2.28E+00,1.00E+00
1.70E+03,2.74E+00,2.49E+00,2.29E+00,1.00E+00
1.80E+03,2.74E+00,2.56E+00,2.29E+00,1.00E+00
1.90E+03,2.74E+00,2.63E+00,2.30E+00,1.00E+00
2.00E+03,2.73E+00,2.70E+00,2.30E+00,1.00E+00
2.10E+03,2.73E+00,2.76E+00,2.30E+00,1.00E+00
2.20E+03,2.73E+00,2.82E+00,2.30E+00,1.00E+00
2.30E+03,2.73E+00,2.88E+00,2.31E+00,1.00E+00
2.40E+03,2.72E+00,2.93E+00,2.31E+00,1.00E+00
2.50E+03,2.72E+00,2.98E+00,2.31E+00,1.00E+00
2.60E+03,2.71E+00,3.04E+00,2.31E+00,1.00E+00
2.70E+03,2.71E+00,3.08E+00,2.32E+00,1.00E+00
2.80E+03,2.71E+00,3.13E+00,2.32E+00,1.00E+00
2.90E+03,2.70E+00,3.18E+00,2.32E+00,1.00E+00
3.00E+03,2.70E+00,3.22E+00,2.33E+00,1.00E+00
3.10E+03,2.69E+00,3.26E+00,2.33E+00,1.00E+00
3.20E+03,2.69E+00,3.31E+00,2.34E+00,1.00E+00
3.30E+03,2.69E+00,3.35E+00,2.34E+00,1.00E+00
3.40E+03,2.68E+00,3.39E+00,2.34E+00,1.00E+00
3.50E+03,2.68E+00,3.43E+00,2.35E+00,1.00E+00
3.60E+03,2.67E+00,3.47E+00,2.35E+00,1.00E+00
3.70E+03,2.67E+00,3.50E+00,2.35E+00,1.00E+00
3.80E+03,2.66E+00,3.54E+00,2.36E+00,1.00E+00
3.90E+03,2.66E+00,3.58E+00,2.36E+00,1.00E+00
4.00E+03,2.65E+00,3.61E+00,2.37E+00,1.00E+00
4.10E+03,2.65E+00,3.65E+00,2.37E+00,1.00E+00
4.20E+03,2.65E+00,3.68E+00,2.37E+00,1.00E+00
4.30E+03,2.64E+00,3.71E+00,2.38E+00,1.00E+00
4.40E+03,2.64E+00,3.75E+00,2.38E+00,1.00E+00
4.50E+03,2.63E+00,3.78E+00,2.39E+00,1.00E+00
4.60E+03,2.63E+00,3.81E+00,2.39E+00,1.00E+00
4.70E+03,2.62E+00,3.84E+00,2.39E+00,1.00E+00
4.80E+03,2.62E+00,3.87E+00,2.40E+00,1.00E+00
4.90E+03,2.62E+00,3.91E+00,2.40E+00,1.00E+00
5.00E+03,2.61E+00,3.94E+00,2.41E+00,1.00E+00
6.00E+03,2.60E+00,4.22E+00,2.41E+00,1.00E+00
7.00E+03,2.57E+00,4.47E+00,2.45E+00,1.00E+00
8.00E+03,2.55E+00,4.70E+00,2.46E+00,1.00E+00
9.00E+03,2.54E+00,4.92E+00,2.47E+00,1.00E+00
1.00E+04,3.00E+00,4.45E+00,2.09E+00,1.00E+00
1.00E+04,2.52E+00,5.11E+00,2.50E+00,1.00E+00
2.00E+04,2.81E+00,6.56E+00,2.24E+00,1.00E+00
3.00E+04,2.39E+00,7.67E+00,2.63E+00,1.00E+00
4.00E+04,2.36E+00,8.51E+00,2.66E+00,1.00E+00
5.00E+04,2.32E+00,9.22E+00,2.71E+00,1.00E+00
6.00E+04,2.31E+00,9.84E+00,2.72E+00,1.00E+00
7.00E+04,2.31E+00,1.04E+01,2.73E+00,1.00E+00
8.00E+04,2.29E+00,1.09E+01,2.75E+00,1.00E+00
9.00E+04,2.27E+00,1.14E+01,2.77E+00,1.00E+00
1.00E+05,2.27E+00,1.18E+01,2.77E+00,1.00E+00
2.00E+05,2.20E+00,1.51E+01,2.86E+00,1.00E+00
3.00E+05,2.20E+00,1.74E+01,2.86E+00,1.00E+00
4.00E+05,2.30E+00,1.92E+01,2.73E+00,1.00E+00
5.00E+05,2.40E+00,2.06E+01,2.62E+00,1.00E+00
6.00E+05,2.50E+00,2.19E+01,2.51E+00,1.00E+00
7.00E+05,2.60E+00,2.30E+01,2.42E+00,1.00E+00
8.00E+05,2.60E+00,2.41E+01,2.42E+00,1.00E+00
9.00E+05,2.70E+00,2.50E+01,2.33E+00,1.00E+00
1.00E+06,2.80E+00,2.57E+01,2.24E+00,1.00E+00
